accountID,companyID,label,initialPurchaseMonth,bin_Efiles,bin_CustomerSpend,firmSize_NumPreparers,productUsage_NumLogs,firmLocation_UrbanRural,numClients,customerSupport_Flag,usedPromotion_Flag,All States,Efile,Evaluation,Federal,First State,Portal,Prior Year,Upgrade,Enterprise,UnlimitedEfile,Pre-paid E-file
86617231,34338,churned,1.0,<= 3 efiles,$867-$1191,1.0,2239.8,2.0,119.4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
57873125,36823,churned,1.0,> 128 efiles,$1999-$2988,1.0,3330.2,82.0,130.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2513491,74823,churned,6.0,4-10 efiles,$867-$1191,1.0,299.0,3.0,35.2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7965029,33381,churned,1.0,> 128 efiles,$1192-$1400,4.0,21591.0,4.0,600.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
11771381,86399,churned,1.0,> 128 efiles,$1999-$2988,1.0,418.8,21.0,97.8,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21006867,83637,churned,1.0,58-128 efiles,$1999-$2988,1.0,538.8,78.0,114.6,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7581970,73387,churned,1.0,<= 3 efiles,$301-$370,1.0,538.8,15.0,114.6,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28414157,38032,churned,1.0,> 128 efiles,$1999-$2988,1.0,1608.8,3.0,83.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
23371875,88340,churned,1.0,19-31 efiles,$1192-$1400,1.0,1745.8,5.0,143.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
71669856,44338,churned,1.0,<= 3 efiles,$371-$468,1.0,5064.2,8.0,126.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1418765,81383,churned,1.0,<= 3 efiles,> $2988,1.0,3369.2,3.0,159.6,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17852103,87359,churned,1.0,4-10 efiles,$301-$370,1.0,4691.4,32.0,390.6,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
86798172,38729,churned,1.0,> 128 efiles,$1999-$2988,1.0,4691.4,17.0,390.6,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
81547706,18038,churned,1.0,4-10 efiles,$301-$370,1.0,2926.6,82.0,572.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
51978776,48830,churned,1.0,<= 3 efiles,$301-$370,1.0,2928.2,1.0,159.6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
80947112,89133,churned,1.0,<= 3 efiles,$301-$370,1.0,536.2,23.0,103.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8578519,38828,churned,1.0,<= 3 efiles,$867-$1191,1.0,1448.2,12.0,145.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32891871,87385,churned,1.0,<= 3 efiles,$867-$1191,1.0,1716.4,30.0,130.2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
15070299,92838,churned,2.0,58-128 efiles,$867-$1191,1.0,536.2,10.0,103.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27314295,93358,churned,2.0,<= 3 efiles,$1192-$1400,1.0,1634.4,44.0,119.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36251107,17519,churned,2.0,32-57 efiles,$629-$866,1.0,5751.4,3.0,215.2,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
